ean;sku;manufacturer;title;stock;price
4030293238398;518956_FLE;FLEX;Lazerinis atstumo matuoklis FLEX ADM 70 G;4;165.68
4030293239753;521078_FLE;FLEX;Akumuliatorius FLEX AP Power Plus 18V 8,0Ah;4;165.68
4058546404505;4932480165_MIL;Milwaukee;Akumuliatorius MILWAUKEE M12 HB 5,0Ah;4;152.64
0088381535175;B-64462_MAK;Makita Accessories;Betono grąžtas su dulkių ištraukimu MAKITA SDS-Max 24 mm;4;225.06
0088381535182;B-64478_MAK;Makita Accessories;Betono grąžtas su dulkių ištraukimu MAKITA SDS-Max 25 mm;4;226.69
0088381535199;B-64484_MAK;Makita Accessories;Betono grąžtas su dulkių ištraukimu MAKITA SDS-Max 28 mm;4;253.94
0088381741651;DUS158Z_MAK;Makita;Akumuliatorinis sodo purkštuvas MAKITA DUS158Z, 15L;4;340.21
088381867962;DCV202ZL_MAK;Makita;Akumuliatorinė šildanti liemenė MAKITA DCV202Z L;4;176.49
4030293221291;491357_FLE;FLEX;Akumuliatorių rinkinys FLEX P-SET 22Q 18V 2x2,5Ah;4;134.85
4059952548234;0601481003_bos;Bosch;Akumuliatorinė smeigiakalė BOSCH GNH 18V-64M;4;965.44
4030293239654;520771_FLE;FLEX;Akumuliatorinis smūginis suktuvas FLEX ID 1/4quot 18,0 5,0Ah EC HD;4;443.37
7040058032335;71470_990-L_HH;Helly Hansen workwear;Žieminis puskombinezonis HELLY HANSEN Bifrost Winter Bib, juodas L;4;240.56
7040058032267;71470_990-2XL_HH;Helly Hansen workwear;Žieminis puskombinezonis HELLY HANSEN Bifrost Winter Bib, juodas 2XL;4;240.56
7040058032342;71470_990-M_HH;Helly Hansen workwear;Žieminis puskombinezonis HELLY HANSEN Bifrost Winter Bib, juodas M;4;240.56
7040058032373;71470_990-S_HH;Helly Hansen workwear;Žieminis puskombinezonis HELLY HANSEN Bifrost Winter Bib, juodas S;4;240.56
7040058032403;71470_990-XL_HH;Helly Hansen workwear;Žieminis puskombinezonis HELLY HANSEN Bifrost Winter Bib, juodas XL;4;240.56
7040058031659;71360_990-L_HH;Helly Hansen workwear;Žieminė striukė HELLY HANSEN Bifrost Winter, juoda L;4;296.11
7040058031628;71360_990-2XL_HH;Helly Hansen workwear;Žieminė striukė HELLY HANSEN Bifrost Winter, juoda 2XL;4;296.11
7040058031666;71360_990-M_HH;Helly Hansen workwear;Žieminė striukė HELLY HANSEN Bifrost Winter, juoda M;4;296.11
7040058031697;71360_990-XL_HH;Helly Hansen workwear;Žieminė striukė HELLY HANSEN Bifrost Winter, juoda XL;4;296.11
3165140964531;06019H6100_bos;Bosch;Akumuliatorinis kampinis šlifuoklis BOSCH Biturbo GWS 18V-15SC;4;420
4059952587721;06019J0201_bos;Bosch;Akumuliatorinis smūginis suktuvas/veržliasukis BOSCH GDX 18V-210C, GCY 42;4;316.96
3165140803229;0601076700_bos;Bosch;Elektroninis gulsčiukas BOSCH GIM60;4;178.75
4059952614304;0601072Z00_bos;Bosch;Lazerinis atstumų matuoklis BOSCH GLM 150-27C;4;398.66
4059952593654;0601061V00_bos;Bosch;Rotacinis lazerinis nivelyras BOSCH GRL 650 CHVG, LR65 G;4;2283.97
3165140773263;060186810D_bos;Bosch;Akumuliatorinis suktuvas-gręžtuvas BOSCH GSR 12V-15;4;122.08
4059952560106;1600A0214C_bos;Bosch;Akumuliatorių ir įkroviklio komplektas BOSCH GBA ProCORE 18V 5,5Ah;4;380.8
4030293232952;509841_FLE;FLEX;Kryžminis lazerinis nivelyras FLEX ALC 3/1-G/R;4;306.57
3165140572996;0601389000_bos;Bosch;Poliruoklis BOSCH GPO 14 CE;4;285.6
4059952564661;06019J8501_bos;Bosch;Akumuliatorinis smūginis veržliasukis BOSCH Biturbo GDS 18V-1050H LB Solo;4;395.36
3165140906098;06019G7103_bos;Bosch;Akumuliatorinis suktuvas-gręžtuvas BOSCH GSR 18V-60 FC su priedais;4;437.92
4058546376680;4933479874_MIL;Milwaukee;Akumuliatorinis smūginis gręžtuvas MILWAUKEE M12 FDD2-402X;4;351.36
4058546376673;4933479873_MIL;Milwaukee;Akumuliatorinis smūginis gręžtuvas MILWAUKEE M12 FDD2-202X;4;306.2
4042146871171;515.0065_ks;KsTools;Ilgų ir trumpų smūginių galvų komplektas KS TOOLS 1/2quot, 40vnt.;4;245.97
